2026-03-04 18:11:03 | INFO     | main | Nepal Ecommerce BI API started.
2026-03-04 18:35:54 | INFO     | main | Nepal Ecommerce BI API started.
2026-03-04 18:36:13 | INFO     | main | Nepal Ecommerce BI API started.
2026-03-04 18:36:13 | INFO     | main | Loading existing file on startup: Data Structure.xlsx
2026-03-04 18:36:13 | INFO     | pipeline.runner | --> Stage: ingest
2026-03-04 18:36:13 | INFO     | pipeline.stage_01_ingest | Ingesting: Data Structure.xlsx
2026-03-04 18:36:14 | INFO     | pipeline.stage_01_ingest | Loaded  Inventory:112  Sales:10000  Purchase:378  Expenses:12
2026-03-04 18:36:14 | INFO     | pipeline.runner | <-- Stage: ingest (1.106s)
2026-03-04 18:36:14 | INFO     | pipeline.runner | --> Stage: clean
2026-03-04 18:36:14 | INFO     | pipeline.stage_02_clean | Cleaned sales: removed 0 fully-empty rows
2026-03-04 18:36:14 | INFO     | pipeline.stage_02_clean | Cleaned purch: removed 0 fully-empty rows
2026-03-04 18:36:14 | INFO     | pipeline.runner | <-- Stage: clean (0.067s)
2026-03-04 18:36:14 | INFO     | pipeline.runner | --> Stage: transform
2026-03-04 18:36:14 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=61,258,985  NetRevenue=59,510,472
2026-03-04 18:36:14 | INFO     | pipeline.runner | <-- Stage: transform (0.003s)
2026-03-04 18:36:14 | INFO     | pipeline.runner | Pipeline complete in 1.180s
2026-03-04 18:36:14 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=61,258,985  NetRevenue=59,510,472
2026-03-04 18:36:14 | INFO     | main | Startup preload complete. Loaded and merged 1 file(s).
2026-03-04 18:36:30 | INFO     | main | Nepal Ecommerce BI API started.
2026-03-04 18:36:30 | INFO     | main | Loading existing file on startup: Data Structure.xlsx
2026-03-04 18:36:30 | INFO     | pipeline.runner | --> Stage: ingest
2026-03-04 18:36:30 | INFO     | pipeline.stage_01_ingest | Ingesting: Data Structure.xlsx
2026-03-04 18:36:31 | INFO     | pipeline.stage_01_ingest | Loaded  Inventory:112  Sales:10000  Purchase:378  Expenses:12
2026-03-04 18:36:31 | INFO     | pipeline.runner | <-- Stage: ingest (1.005s)
2026-03-04 18:36:31 | INFO     | pipeline.runner | --> Stage: clean
2026-03-04 18:36:31 | INFO     | pipeline.stage_02_clean | Cleaned sales: removed 0 fully-empty rows
2026-03-04 18:36:31 | INFO     | pipeline.stage_02_clean | Cleaned purch: removed 0 fully-empty rows
2026-03-04 18:36:31 | INFO     | pipeline.runner | <-- Stage: clean (0.060s)
2026-03-04 18:36:31 | INFO     | pipeline.runner | --> Stage: transform
2026-03-04 18:36:31 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=61,258,985  NetRevenue=59,510,472
2026-03-04 18:36:31 | INFO     | pipeline.runner | <-- Stage: transform (0.002s)
2026-03-04 18:36:31 | INFO     | pipeline.runner | Pipeline complete in 1.070s
2026-03-04 18:36:31 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=61,258,985  NetRevenue=59,510,472
2026-03-04 18:36:31 | INFO     | main | Startup preload complete. Loaded and merged 1 file(s).
2026-03-04 18:36:41 | INFO     | main | Nepal Ecommerce BI API started.
2026-03-04 18:36:41 | INFO     | main | Loading existing file on startup: Data Structure.xlsx
2026-03-04 18:36:41 | INFO     | pipeline.runner | --> Stage: ingest
2026-03-04 18:36:41 | INFO     | pipeline.stage_01_ingest | Ingesting: Data Structure.xlsx
2026-03-04 18:36:42 | INFO     | pipeline.stage_01_ingest | Loaded  Inventory:112  Sales:10000  Purchase:378  Expenses:12
2026-03-04 18:36:42 | INFO     | pipeline.runner | <-- Stage: ingest (0.977s)
2026-03-04 18:36:42 | INFO     | pipeline.runner | --> Stage: clean
2026-03-04 18:36:42 | INFO     | pipeline.stage_02_clean | Cleaned sales: removed 0 fully-empty rows
